LINHA,TIPO_EMBARCACAO,MAT_CASCO,COMPRIMENTO,BOCA,CALADO,PONTAL,POTENCIA,VELOCIDADE,NUM_PROP,TPB,DESLOC_LEVE,NUM_GERADORES,CAP_PASSAGEIROS,CAP_CARGA,TRIPULANTES,DURACAO_VIAGEM,CONSUMO_COMBUSTIVEL
SANTANA - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,22.0,5.0,1.5,1.8,180,15,1,109,21,1,70,49,4,12.0,400.0
SANTAREM - JURUTI,PASSAGEIRO/CARGA GERAL,MADEIRA,26.0,6.0,1.8,2.25,313,10,1,109,21,1,100,44,7,12.0,600.0
SANTAREM - SANTANA DO TAPARA,LANCHA,ALUMINIO,22.0,3.0,1.0,1.9,450,26,1,35,7,1,52,0,3,3.0,90.0
SANTAREM - ALENQUER,LANCHA,ALUMINIO,24.0,3.65,0.8,1.65,600,24,1,35,7,1,94,0,3,2.0,160.0
SANTAREM - MONTE ALEGRE,LANCHA,ALUMINIO,25.4,2.7,1.0,1.2,2477,26,1,35,7,1,99,0,3,3.0,450.0
MACAPA - CHAVES,PASSAGEIRO/CARGA GERAL,MADEIRA,19.0,4.2,1.5,3.0,135,18,1,109,21,1,45,35,3,7.0,150.0
BELEM - ARAPARI,PASSAGEIRO/CARGA GERAL,ACO NAVAL,34.0,6.0,1.5,2.2,550,14,1,330,64,1,410,0,4,0.5,23.0
MAUES - RIO PARACUNI,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,6.0,1.8,2.1,240,15,3,109,21,2,75,60,4,10.0,155.0
BELEM - LIMOEIRO DO AJURU,LANCHA,ALUMINIO,23.8,4.0,1.0,1.66,335,18,1,35,7,1,95,0,3,4.0,275.0
BELEM - SAO SEBASTIAO DA BOA VISTA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,34.0,7.5,1.6,1.8,600,12,1,330,64,2,261,300,4,8.0,700.0
BELEM - MUANA,PASSAGEIRO/CARGA GERAL,ACO NAVAL,41.0,9.0,2.5,4.0,975,16,1,330,64,2,339,140,7,5.0,500.0
BELEM - MUANA,FERRY BOAT,ACO NAVAL,41.0,9.0,1.8,2.0,420,12,2,528,98,2,315,298,4,5.0,500.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,4.3,1.0,1.25,160,14,1,109,21,1,45,18,3,10.0,400.0
SANTAREM - SAO PEDRO,PASSAGEIRO/CARGA GERAL,MADEIRA,17.2,4.5,1.2,1.3,125,20,1,109,21,1,45,18,3,5.0,125.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,20.0,9.0,1.2,1.2,156,23,2,109,21,2,45,20,3,8.0,250.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,16.8,4.8,1.2,1.2,156,23,2,109,21,2,77,48,3,8.0,200.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,17.0,3.5,1.1,2.0,160,15,1,109,21,1,25,14,2,8.0,250.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,13.8,3.73,0.6,1.0,156,23,2,109,21,1,40,5,3,10.0,300.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,4.8,1.2,1.4,610,9,2,109,21,0,45,16,2,10.0,350.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,16.0,2.5,1.0,1.9,300,15,1,109,21,1,40,1,3,10.0,350.0
SANTAREM - GURUPA,PASSAGEIRO/CARGA GERAL,MADEIRA,15.0,4.0,1.0,1.2,114,30,1,109,21,1,35,30,2,7.0,75.0
SANTAREM - CACHOEIRA DO ARUA,PASSAGEIRO/CARGA GERAL,MADEIRA,18.0,3.95,1.0,1.4,160,10,1,109,21,1,45,17,3,10.0,200.0
SANTAREM - ARAPIUNS,PASSAGEIRO/CARGA GERAL,MADEIRA,15.8,4.3,1.2,1.2,200,30,1,109,21,1,30,17,2,10.0,350.0
MUANA - PONTA DE PEDRAS,OUTRO,MADEIRA,14.0,3.0,1.6,0.8,450,12,1,49,8,0,20,10,3,5.0,30.0
BREVES - PORTEL,LANCHA,ALUMINIO,20.0,2.5,0.8,1.0,390,26,2,35,7,1,88,0,3,1.4,130.0
